[2025-12-29 20:01:33] | admin | admin | 删除用户 | 删除用户ID=5 | 192.168.1.10
[2025-12-29 20:03:20] | alice | user | 点赞 | 文章ID=3 | 192.168.1.12
[2025-12-29 21:17:13] |  |  | 评论 | 文章ID=1 内容=123 | 127.0.0.1
[2025-12-29 21:17:42] |  |  | 点赞 | 文章ID=1 | 127.0.0.1
[2025-12-29 21:17:42] |  |  | 转发 | 文章ID=1 | 127.0.0.1
[2025-12-29 21:18:55] |  |  | 点赞 | 文章ID=1 | 127.0.0.1
[2025-12-29 21:18:55] |  |  | 转发 | 文章ID=1 | 127.0.0.1
[2025-12-29 21:19:41] | admin | user | 注册 | 新用户注册 | 127.0.0.1
[2025-12-29 21:19:51] | admin | user | 登录 | 用户登录 | 127.0.0.1
[2025-12-29 21:19:56] | admin | user | 退出 | 用户退出 | 127.0.0.1
[2025-12-29 21:20:43] | admin | admin | 登录 | 用户登录 | 127.0.0.1
[2025-12-29 21:29:36] | user | user | 注册 | 新用户注册 | 127.0.0.1
[2025-12-29 21:29:44] | user | user | 登录 | 用户登录 | 127.0.0.1
[2025-12-29 21:32:08] | admin | user | 注册 | 新用户注册 | 127.0.0.1
[2025-12-29 21:32:27] | admin | user | 注册 | 新用户注册 | 127.0.0.1
[2025-12-29 21:32:48] | admin | admin | 登录 | 用户登录 | 127.0.0.1
[2025-12-29 21:32:50] | admin | admin | 退出 | 用户退出 | 127.0.0.1
[2025-12-29 21:32:58] | admin | user | 注册 | 新用户注册 | 127.0.0.1
[2025-12-29 21:33:12] | user | user | 注册 | 新用户注册 | 127.0.0.1
[2025-12-29 21:33:17] | user | user | 登录 | 用户登录 | 127.0.0.1
[2025-12-29 21:33:19] | user | user | 退出 | 用户退出 | 127.0.0.1
[2025-12-29 21:35:25] | 123 | user | 注册 | 新用户注册 | 127.0.0.1
[2025-12-29 21:35:34] | 123 | user | 登录 | 用户登录 | 127.0.0.1
[2025-12-29 21:35:41] | 123 | user | 修改资料 | 修改用户名为 321 | 127.0.0.1
[2025-12-29 21:35:52] | 123 | user | 修改资料 | 修改用户名为 admin | 127.0.0.1
[2025-12-29 21:37:22] | 123 | user | 修改资料 | 修改用户名为 admin | 127.0.0.1
[2025-12-29 21:37:56] | 321 | user | 登录 | 用户登录 | 127.0.0.1
[2025-12-29 21:39:04] | 321 | user | 登录 | 用户登录 | 127.0.0.1
[2025-12-29 21:40:30] | 321 | user | 修改资料 | 修改用户名为 123 | 127.0.0.1
[2025-12-29 21:40:53] | 321 | user | 上传头像 | uploads/草稿.txt | 127.0.0.1
[2025-12-29 21:41:20] | 321 | user | 上传头像 | uploads/草稿.md | 127.0.0.1
[2025-12-29 21:49:41] | 321 | user | 修改资料 | 修改用户名为 123 | 127.0.0.1
[2025-12-29 21:49:43] | 123 | user | 修改资料 | 修改用户名为 123 | 127.0.0.1
[2025-12-29 21:49:49] | 123 | user | 修改资料 | 修改用户名为 123 | 127.0.0.1
[2025-12-29 21:50:10] | 123 | user | 上传头像 | uploads/avatar_1767016210_389b1b3e.png | 127.0.0.1
[2025-12-29 21:50:16] | 123 | user | 上传头像 | uploads/avatar_1767016216_6335ad98.jpg | 127.0.0.1
[2025-12-29 21:50:20] | 123 | user | 上传头像 | uploads/avatar_1767016220_14b84310.gif | 127.0.0.1
[2025-12-29 21:52:15] | 123 | user | 上传头像 | uploads/avatar_1767016335_a61ea176.jpg | 127.0.0.1
[2025-12-29 21:55:25] | 123 | user | 修改资料 | 修改用户名为 123 | 127.0.0.1
[2025-12-29 21:55:26] | 123 | user | 修改资料 | 修改用户名为 123 | 127.0.0.1
[2025-12-29 21:55:29] | 123 | user | 修改资料 | 修改用户名为 123 | 127.0.0.1
[2025-12-29 21:57:14] | 123 | user | 退出 | 用户退出 | 127.0.0.1
[2025-12-29 21:58:59] | 123 | user | 注册 | 新用户注册成功 | 127.0.0.1
[2025-12-29 21:59:25] | 123123 | user | 注册 | 新用户注册成功 | 127.0.0.1
[2025-12-29 21:59:49] | 123 | user | 注册 | 新用户注册成功 | 127.0.0.1
[2025-12-29 22:00:16] | 123 | user | 登录 | 用户登录成功 | 127.0.0.1
[2025-12-29 22:01:07] | 123 | user | 点赞 | 点赞了文章ID=2 | 127.0.0.1
[2025-12-29 22:01:08] | 123 | user | 转发 | 转发文章ID=2 | 127.0.0.1
[2025-12-29 22:01:13] | 123 | user | 评论 | 评论文章ID=2 内容=222222222222 | 127.0.0.1
[2025-12-29 22:01:18] | 123 | user | 点赞 | 点赞了文章ID=1 | 127.0.0.1
[2025-12-29 22:01:21] | 123 | user | 转发 | 转发文章ID=1 | 127.0.0.1
[2025-12-29 22:01:23] | 123 | user | 评论 | 评论文章ID=1 内容=111111111111 | 127.0.0.1
[2025-12-29 22:01:36] | 123 | user | 上传头像 | uploads/avatar_1767016896_4427ca1f.png | 127.0.0.1
[2025-12-29 22:02:48] | 123 | user | 退出 | 用户退出 | 127.0.0.1
[2025-12-29 22:02:54] | admin | admin | 登录 | 用户登录成功 | 127.0.0.1
[2025-12-29 22:02:56] | admin | admin | 点赞 | 点赞了文章ID=2 | 127.0.0.1
[2025-12-29 22:02:57] | admin | admin | 转发 | 转发文章ID=2 | 127.0.0.1
[2025-12-29 22:03:00] | admin | admin | 评论 | 评论文章ID=2 内容=12312312 | 127.0.0.1
[2025-12-29 22:03:03] | admin | admin | 评论 | 评论文章ID=1 内容=123123213 | 127.0.0.1
[2025-12-29 22:03:05] | admin | admin | 转发 | 转发文章ID=1 | 127.0.0.1
[2025-12-29 22:03:06] | admin | admin | 点赞 | 点赞了文章ID=1 | 127.0.0.1
[2025-12-29 22:05:19] | admin | admin | 上传头像 | uploads/avatar_1767017119_ff6db3b1.png | 127.0.0.1
[2025-12-29 22:05:47] | admin | admin | 上传头像 | uploads/avatar_1767017147_3aa39584.jpg | 127.0.0.1
[2025-12-29 22:07:01] | admin | admin | 删除用户 | 删除用户ID=1 | 127.0.0.1
[2025-12-29 22:07:02] | admin | admin | 删除用户 | 删除用户ID=2 | 127.0.0.1
[2025-12-29 22:07:06] | admin | admin | 删除用户 | 删除用户ID=6 | 127.0.0.1
[2025-12-29 22:07:53] | admin | admin | 删除用户 | 删除用户ID=2 | 127.0.0.1
[2025-12-29 22:07:54] | admin | admin | 删除用户 | 删除用户ID=1 | 127.0.0.1
[2025-12-29 22:08:19] | admin | admin | 修改资料 | 修改用户名为 123 | 127.0.0.1
[2025-12-29 22:08:58] | 123 | admin | 修改资料 | 修改用户名为 123 | 127.0.0.1
[2025-12-29 22:09:00] | 123 | admin | 修改资料 | 修改用户名为 321 | 127.0.0.1
[2025-12-29 22:10:31] | 321 | admin | 删除用户 | 删除用户ID=7 | 127.0.0.1
[2025-12-29 22:14:43] | 321 | admin | 退出 | 用户退出 | 127.0.0.1
[2025-12-29 22:15:12] | admin | user | 注册 | 新用户注册成功 | 127.0.0.1
[2025-12-29 22:15:16] | admin | user | 登录 | 用户登录成功 | 127.0.0.1
[2025-12-29 22:15:41] | admin | user | 退出 | 用户退出 | 127.0.0.1
[2025-12-29 22:15:47] | admin | admin | 登录 | 用户登录成功 | 127.0.0.1
[2025-12-29 22:16:09] | admin | admin | 新增用户 | 新增用户名=user role=user | 127.0.0.1
[2025-12-29 22:16:23] | admin | admin | 新增用户 | 新增用户名=admin2 role=admin | 127.0.0.1
[2025-12-29 22:16:33] | admin | admin | 退出 | 用户退出 | 127.0.0.1
[2025-12-29 22:16:40] | admin2 | admin | 登录 | 用户登录成功 | 127.0.0.1
[2025-12-29 22:16:47] | admin2 | admin | 删除用户 | 删除用户ID=8 用户名=admin | 127.0.0.1
[2025-12-29 22:16:49] | admin2 | admin | 删除用户 | 删除用户ID=9 用户名=user | 127.0.0.1
[2025-12-29 22:16:54] | admin2 | admin | 管理员修改用户名 | 目标ID=10 新用户名=admin | 127.0.0.1
[2025-12-29 22:17:11] | admin | admin | 新增用户 | 新增用户名=admin2 role=user | 127.0.0.1
[2025-12-29 22:17:25] | admin | admin | 管理员修改用户名 | 目标ID=11 新用户名=admin2 | 127.0.0.1
[2025-12-29 22:17:32] | admin | admin | 管理员修改用户名 | 目标ID=11 新用户名=admin2 | 127.0.0.1
[2025-12-29 22:17:47] | admin | admin | 管理员修改用户名 | 目标ID=11 新用户名=admin2 | 127.0.0.1
[2025-12-29 22:18:12] | admin | admin | 管理员上传头像 | 为用户ID=10 上传文件=uploads/admin_avatar_1767017892_d441f3e20efa.png | 127.0.0.1
[2025-12-29 22:20:01] | admin | admin | 管理员上传头像 | 为用户ID=11 上传文件=uploads/admin_avatar_1767018001_54d8cc37437c.png | 127.0.0.1
[2025-12-29 22:20:05] | admin | admin | 退出 | 用户退出 | 127.0.0.1
[2025-12-29 22:20:10] | admin | admin | 登录 | 用户登录成功 | 127.0.0.1
[2025-12-29 22:20:44] | admin | admin | 退出 | 用户退出 | 127.0.0.1
[2025-12-29 22:20:50] | admin2 | user | 登录 | 用户登录成功 | 127.0.0.1
[2025-12-29 22:21:00] | admin2 | user | 修改资料 | 修改用户名为 1231231 (由个人资料页) | 127.0.0.1
[2025-12-29 22:21:09] | 1231231 | user | 上传头像 | uploads/avatar_1767018069_2502d37d.jpg | 127.0.0.1
[2025-12-29 22:21:22] | 1231231 | user | 退出 | 用户退出 | 127.0.0.1
[2025-12-29 22:21:56] | admin | user | 注册 | 新用户注册成功 | 127.0.0.1
[2025-12-29 22:22:00] | admin | user | 登录 | 用户登录成功 | 127.0.0.1
[2025-12-29 22:22:01] | admin | user | 退出 | 用户退出 | 127.0.0.1
[2025-12-29 22:22:17] | admin | user | 登录 | 用户登录成功 | 127.0.0.1
[2025-12-29 22:22:25] | admin | user | 退出 | 用户退出 | 127.0.0.1
[2025-12-29 22:22:30] | admin | user | 登录 | 用户登录成功 | 127.0.0.1
[2025-12-29 22:22:35] | admin | user | 退出 | 用户退出 | 127.0.0.1
[2025-12-29 22:22:43] | admin | user | 登录 | 用户登录成功 | 127.0.0.1
[2025-12-29 22:23:00] | admin | user | 退出 | 用户退出 | 127.0.0.1
[2025-12-29 22:23:04] | admin | admin | 登录 | 用户登录成功 | 127.0.0.1
[2025-12-29 22:23:42] | admin | admin | 管理员修改用户名 | 目标ID=12 新用户名=admin | 127.0.0.1
[2025-12-29 22:23:51] | admin | admin | 管理员修改用户名 | 目标ID=11 新用户名=1231231 | 127.0.0.1
[2025-12-29 22:24:06] | admin | admin | 退出 | 用户退出 | 127.0.0.1
[2025-12-29 22:27:19] | admin | admin | 登录 | 用户登录成功 | 127.0.0.1
[2025-12-29 22:27:33] | admin | admin | 退出 | 用户退出 | 127.0.0.1
[2025-12-29 22:27:50] | admin | admin | 登录 | 用户登录成功 | 127.0.0.1
[2025-12-29 22:27:59] | admin | admin | 删除用户 | 删除用户ID=11 用户名=123 | 127.0.0.1
[2025-12-29 22:28:03] | admin | admin | 新增用户 | 新增用户名=123 role=user | 127.0.0.1
[2025-12-29 22:29:03] | admin | admin | 新增用户 | 新增用户名=111 role=user | 127.0.0.1
[2025-12-29 22:29:16] | admin | admin | 删除用户 | 删除用户ID=14 用户名=111 | 127.0.0.1
[2025-12-29 22:29:37] | admin | admin | 退出 | 用户退出 | 127.0.0.1
[2025-12-29 22:29:40] | 123 | user | 登录 | 用户登录成功 | 127.0.0.1
[2025-12-29 22:29:42] | 123 | user | 退出 | 用户退出 | 127.0.0.1
[2025-12-29 22:29:47] | admin | admin | 登录 | 用户登录成功 | 127.0.0.1
[2025-12-29 22:30:01] | admin | admin | 修改用户角色 | 目标ID=13 由user => admin | 127.0.0.1
[2025-12-29 22:30:09] | admin | admin | 退出 | 用户退出 | 127.0.0.1
[2025-12-29 22:30:12] | 123 | admin | 登录 | 用户登录成功 | 127.0.0.1
[2025-12-29 22:30:34] | 123 | admin | 管理员修改用户名 | 目标ID=13 新用户名=123 | 127.0.0.1
[2025-12-29 22:30:48] | 123 | admin | 修改用户角色 | 目标ID=13 由admin => user | 127.0.0.1
[2025-12-29 22:31:10] | 123 | user | 退出 | 用户退出 | 127.0.0.1
[2025-12-29 22:31:56] | admin | admin | 登录 | 用户登录成功 | 127.0.0.1
[2025-12-29 22:32:04] | admin | admin | 管理员修改用户名 | 目标ID=13 新用户名=123 | 127.0.0.1
[2025-12-29 22:32:06] | admin | admin | 管理员修改用户名 | 目标ID=13 新用户名=123 | 127.0.0.1
[2025-12-29 22:32:22] | admin | admin | 退出 | 用户退出 | 127.0.0.1
[2025-12-29 22:32:25] | 123 | user | 登录 | 用户登录成功 | 127.0.0.1
[2025-12-29 22:33:19] | 123 | user | 退出 | 用户退出 | 127.0.0.1
[2025-12-29 22:33:23] | admin | admin | 登录 | 用户登录成功 | 127.0.0.1
